pmcid,title,abstract,publication_date,keywords,journal,doi,author
31935825,Genome-Wide Study of the GATL Gene Family in ,"Pectin is a major polysaccharide component that promotes plant growth and fiber elongation in cotton. In previous studies, the galacturonosyltransferase-like (GATL) gene family has been shown to be involved in pectin synthesis. However, few studies have been performed on cotton ",2020-06-23,"Galactosyltransferases, Gene Expression Profiling, Gene Expression Regulation, Plant, Genome, Plant, Genome-Wide Association Study, Glucuronosyltransferase, Gossypium, Multigene Family, Pectins, Phylogeny, Plant Proteins",Genes (Basel),,Zheng
31978511,Selection and validation of reliable reference genes for Tolypocladium guangdongense gene expression analysis under differentially developmental stages and temperature stresses.,"Tolypocladium guangdongense, formerly known as Cordyceps guangdongensis, is a widely cultivated fungus of the Cordyceps s.l. species that has been investigated over the last 12 years. It has the potential to be used in a number of applications in the health and pharmaceutical industries for it has shown its high nutritional and medicinal values according to previous animal studies. qRT-PCR (quantitative reverse transcription polymerase chain reaction) is extensively used to analyze the expression pattern and molecular mechanisms of functional genes under differentially experimental conditions. The expression stability of reference genes used for normalization determines the reliability of qRT-PCR results, indicating the importance of selection and validation of reference genes before gene expression analysis. In the present study, three statistical algorithms, geNorm, NormFinder and BestKeeper, were used for analyzing the expression stability of nineteen candidate reference genes (CRGs) in T. guangdongense. Investigation were carried out under differentially experimental conditions, which included differentially developmential stages (mycelia, primordia, young and mature fruiting bodies), different carbon sources, cold and heat stresses. The results showed that histone H4 and tubulin beta chain 2 (β-tub2) were the most and least stable genes, respectively, across all the experimental samples. Moreover, analysis of individual data sets exhibited different stability and expression profiles of reference genes. The vacuolar protein sorting gene VPS was the most stable gene expressed under the differentially developmental stages and temperature stresses, whereas H4 was the most stably expressed gene under different carbon sources. Therefore, it can be proposed that VPS and H4 are the preferred reference genes for normalization of gene expression under different experimental conditions. The results of our present study will enable more accurate evaluation of gene expression in T. guangdongense using the optimal reference gene for qRT-PCR analysis.",2020-03-03,"Algorithms, Cordyceps, Gene Expression Profiling, Genes, Fungal, Histones, Reference Standards, Stress, Physiological, Temperature, Tubulin",Gene,10.1016/j.gene.2020.144380,Wang
32235512,Validation of the Reference Genes for the Gene Expression Studies in Chicken DT40 Cell Line.,"The selection of a suitable reference gene assures a reliable gene expression analysis when using the qPCR method. Normalization of the reaction is based on the basic metabolism genes. These genes show a constant, unregulated expression in all cells and function throughout their lifetime. In the current study, seven reference gene candidates were screened using RT-qPCR, to determine the best-matched pair of reference genes in the chicken DT40 cell line. The DT40 was derived from bursal lymphoma cells that were subjected to RAV-1 bird retroviral infection. It is a simplified in vitro model that allows tracking the direct interaction of stimulants on the lymphoid population and profiling of the hepatocellular B cell transcriptome. The reference gene analysis was carried out using statistical tools integrating four independent methods-geNorm, Best Keeper, NormFinder, delta Ct and RefFinder. Based on the selected reference genes, the relative gene expression analysis was done using the ddCt method. Complete relative gene expression study on a panel of the target genes revealed that proper selection of reference genes depending on the tissue eliminate decreases in data quality. The ",,,Genes (Basel),,Dunislawska
31138119,Conventionally used reference genes are not outstanding for normalization of gene expression in human cancer research.,"The selection of reference genes is essential for quantifying gene expression. Theoretically they should be expressed stably and not regulated by experimental or pathological conditions. However, identification and validation of reference genes for human cancer research are still being regarded as a critical point, because cancerous tissues often represent genetic instability and heterogeneity. Recent pan-cancer studies have demonstrated the importance of the appropriate selection of reference genes for use as internal controls for the normalization of gene expression; however, no stably expressed, consensus reference genes valid for a range of different human cancers have yet been identified.",2019-07-19,"Biomedical Research, Databases, Genetic, Gene Expression Profiling, Gene Expression Regulation, Neoplastic, Genes, Humans, Membrane Glycoproteins, Neoplasms, Real-Time Polymerase Chain Reaction, Reference Standards, Reproducibility of Results",BMC Bioinformatics,,Jo
31226871,Genome-Wide Identification and Gene Expression Analysis of ABA Receptor Family Genes in ,"Abscisic acid (ABA) plays important roles in multiple physiological processes, such as plant response to stresses and plant development. The ABA receptors pyrabactin resistance (PYR)/ PYR1-like (PYL)/regulatory components of ABA receptor (RCAR) play a crucial role in ABA perception and signaling. However, little is known about the details regarding PYL family genes in Brassica juncea var. tumida. Here, 25 PYL family genes were identified in B. juncea var. tumida genome, including BjuPYL3, BjuPYL4s, BjuPYL5s, BjuPYL6s, BjuPYL7s, BjuPYL8s, BjuPYL10s, BjuPYL11s, and BjuPYL13. The results of phylogenic analysis and gene structure showed that the PYL family genes performed similar gene characteristics. By analyzing ",2019-12-25,"Abscisic Acid, Arabidopsis, Arabidopsis Proteins, Gene Expression Regulation, Plant, Genome, Plant, Intracellular Signaling Peptides and Proteins, Membrane Transport Proteins, Multigene Family, Mustard Plant, Plant Development, Plant Proteins",Genes (Basel),,Cheng
31261792,Screening the Reference Genes for Quantitative Gene Expression by RT-qPCR During SE Initial Dedifferentiation in Four ,"RNA sequencing (RNA-Seq)-based gene expression analysis is applicable to a wide range of biological purposes in various species. Reverse transcription quantitative PCR (RT-qPCR) is also used to assess target gene expression utilizing stably expressed reference genes as internal control under a given set of conditions. However, investigations of the reference genes for RT-qPCR normalization in the process of somatic embryogenesis (SE) initial dedifferentiation in ",2020-01-06,"Genes, Plant, Gossypium, Plant Proteins, Plant Somatic Embryogenesis Techniques, RNA, Ribosomal, 18S, Real-Time Polymerase Chain Reaction, Transcriptome",Genes (Basel),,Cao
31557882,Common Nevus and Skin Cutaneous Melanoma: Prognostic Genes Identified by Gene Co-Expression Network Analysis.,"Skin cutaneous melanoma (SCM) is a common malignant tumor of the skin and its pathogenesis still needs to be studied. In this work, we constructed a co-expression network and screened for hub genes by weighted gene co-expression network analysis (WGCNA) using the GSE98394 dataset. The relationship between the mRNA expression of hub genes and the prognosis of patients with melanoma was validated by Gene Expression Profiling Interactive Analysis (GEPIA) database. Furthermore, immunohistochemistry in the Human Protein Atlas was used to validate hub genes and grayscale analysis was performed using ImageJ software. It was found that the yellow module was most significantly associated with the difference between common nevus and SCM, and 13 genes whose expression correlation >0.9 were candidate hub genes. The expression of three genes (",2020-03-16,"Biomarkers, Tumor, Caspase 12, Gene Expression Profiling, Gene Expression Regulation, Neoplastic, Gene Regulatory Networks, Humans, Melanoma, Nevus, Potassium Channels, Sodium-Activated, Prognosis, Protein-Serine-Threonine Kinases, Skin, Skin Neoplasms",Genes (Basel),,Yang
31412643,Identification of Key Genes and Pathways in Pancreatic Cancer Gene Expression Profile by Integrative Analysis.,Pancreatic cancer is one of the malignant tumors that threaten human health.,2020-01-09,"Algorithms, Biomarkers, Tumor, DNA Topoisomerases, Type II, Gene Expression Regulation, Neoplastic, Gene Regulatory Networks, Humans, Pancreatic Neoplasms, Protein-Serine-Threonine Kinases, Proto-Oncogene Proteins c-met, Syndecan-1, Thrombospondin 1, Transcriptome",Genes (Basel),,Lu
28479385,Digital gene expression profiling of flax (Linum usitatissimum L.) stem peel identifies genes enriched in fiber-bearing phloem tissue.,"To better understand the molecular mechanisms and gene expression characteristics associated with development of bast fiber cell within flax stem phloem, the gene expression profiling of flax stem peels and leaves were screened, using Illumina's Digital Gene Expression (DGE) analysis. Four DGE libraries (2 for stem peel and 2 for leaf), ranging from 6.7 to 9.2 million clean reads were obtained, which produced 7.0 million and 6.8 million mapped reads for flax stem peel and leave, respectively. By differential gene expression analysis, a total of 975 genes, of which 708 (73%) genes have protein-coding annotation, were identified as phloem enriched genes putatively involved in the processes of polysaccharide and cell wall metabolism. Differential expression genes (DEGs) was validated using quantitative RT-PCR, the expression pattern of all nine genes determined by qRT-PCR fitted in well with that obtained by sequencing analysis. Cluster and Gene Ontology (GO) analysis revealed that a large number of genes related to metabolic process, catalytic activity and binding category were expressed predominantly in the stem peels. The Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis of the phloem enriched genes suggested approximately 111 biological pathways. The large number of genes and pathways produced from DGE sequencing will expand our understanding of the complex molecular and cellular events in flax bast fiber development and provide a foundation for future studies on fiber development in other bast fiber crops.",2017-07-27,"Flax, Gene Expression Profiling, Genes, Plant, Molecular Sequence Annotation, Phloem, Plant Stems",Gene,10.1016/j.gene.2017.05.002,Guo
31689985,Determination of Suitable RT-qPCR Reference Genes for Studies of Gene Functions in ,The reverse transcription quantitative polymerase chain reaction (RT-qPCR) has been widely used to determine gene functions in ,2020-05-13,"Animals, Gene Expression Profiling, Hemiptera, Insect Vectors, Plant Diseases, Plant Viruses, Real-Time Polymerase Chain Reaction, Reoviridae, Transcriptome",Genes (Basel),,Wu
